20.05.2017
Stationscode;Stationsname;"Tagesmittelwerte �ber 50 �g/m�";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;M�r;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEHE028;F�rth/Odenwald;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE030;Marburg;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE032;Bebra;2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHE037;Wiesbaden-Ringkirche;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHE040;Darmstadt-H�gelstra�e;4;K;01.01.2016;31.12.2016;1;0;2;0;0;0;0;0;0;0;0;1
DEHE041;Frankfurt-Friedb.Ldstr.;7;K;01.01.2016;31.12.2016;1;0;1;0;0;0;0;0;0;0;1;4
DEHE043;Riedstadt;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE044;Limburg;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE045;Michelstadt;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE046;"Bad Arolsen";0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE049;Kassel-F�nffenster-Str.;7;K;01.01.2016;31.12.2016;1;0;1;0;0;0;0;2;2;0;1;0
DEHE050;Zierenberg;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE051;Wasserkuppe;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE052;"Kleiner Feldberg";0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE058;Fulda-Mitte;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE059;"Fulda-Petersberger Str.";0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE060;Kellerwald;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE061;Gie�en-Westanlage;0;K;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE062;Marburg-Univers.Stra�e;2;K;01.01.2016;31.12.2016;1;0;0;0;0;0;1;0;0;0;0;0
DEHE063;Heppenheim-Lehrstra�e;2;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;1
DEHE095;"DHA80 Wetzlar-K�hlersgarten";0;G;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEHE112;"Wiesbaden-Schiersteiner Str.";2;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;1
DEHE116;"Offenbach-Untere Grenzstra�e";1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHE131;Limburg-Schiede;7;K;01.01.2016;31.12.2016;1;0;3;0;0;0;0;0;0;0;0;3
DEHH008;"Hamburg Sternschanze";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH015;"Hamburg Veddel";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH016;"Hamburg Billbrook";3;K;01.01.2016;31.12.2016;2;0;1;0;0;0;0;0;0;0;0;0
DEHH026;"Hamburg Stresemannstra�e";3;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;1;0;0
DEHH033;"Hamburg Flughafen Nord";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH059;"Hamburg Wilhelmsburg";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH068;"Hamburg Habichtstra�e";7;K;01.01.2016;31.12.2016;2;1;1;0;0;0;0;0;0;1;0;2
DEHH070;"Hamburg Max-Brauer-Allee II (Stra�e)";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH072;"Hamburg Finkenwerder West";1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEHH074;"Hamburg Billstedt";2;K;01.01.2016;18.01.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH079;"Hamburg Altona Elbhang";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEHH081;"Hamburg Hafen";2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEMV003;Neubrandenburg;7;K;01.01.2016;31.12.2016;4;0;1;1;0;0;0;0;0;0;1;0
DEMV004;G�lzow;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DEMV007;Rostock-Stuthof;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEMV012;L�cknitz;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DEMV017;G�hlen;5;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;1;0;0;0
DEMV019;G�strow;2;K;01.01.2016;31.12.2016;2;0;0;0;0;0;0;0;0;0;0;0
DEMV020;"Rostock Am Strande";6;G;01.01.2016;31.12.2016;2;1;1;1;0;0;0;0;0;0;1;0
DEMV021;Rostock-Warnem�nde;3;K;01.01.2016;31.12.2016;1;0;1;1;0;0;0;0;0;0;0;0
DEMV022;Rostock-Holbeinplatz;6;K;01.01.2016;31.12.2016;3;0;1;0;0;0;0;0;1;1;0;0
DEMV023;Schwerin-Obotritenring;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DEMV024;Leizen;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEMV025;Stralsund-Knieperdamm;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEMV026;Garz;1;K;01.01.2016;31.12.2016;0;0;0;1;0;0;0;0;0;0;0;0
DEMV031;"Rostock-Hohe D�ne";2;K;01.01.2016;31.12.2016;1;0;1;0;0;0;0;0;0;0;0;0
DENI011;Braunschweig;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI016;Oker/Harlingerode;5;K;01.01.2016;31.12.2016;4;0;1;0;0;0;0;0;0;0;0;0
DENI020;Wolfsburg;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI028;Eichsfeld;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DENI029;Ostfriesland;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DENI031;Jadebusen;1;K;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DENI038;Osnabr�ck;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DENI041;Weserbergland;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
